status,request_url,outputUrl
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-ADCPSL007/recovered_inst/adcp_velocity_earth?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T162622-GP03FLMB-RIM01-02-ADCPSL007-recovered_inst-adcp_velocity_earth/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-ADCPSL007/recovered_host/adcps_jln_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T162907-GP03FLMB-RIM01-02-ADCPSL007-recovered_host-adcps_jln_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-ADCPSL007/telemetered/adcps_jln_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T162921-GP03FLMB-RIM01-02-ADCPSL007-telemetered-adcps_jln_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG060/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163049-GP03FLMB-RIM01-02-CTDMOG060-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG060/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163103-GP03FLMB-RIM01-02-CTDMOG060-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG060/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163122-GP03FLMB-RIM01-02-CTDMOG060-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG061/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163136-GP03FLMB-RIM01-02-CTDMOG061-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG061/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163149-GP03FLMB-RIM01-02-CTDMOG061-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG061/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163203-GP03FLMB-RIM01-02-CTDMOG061-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG062/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163216-GP03FLMB-RIM01-02-CTDMOG062-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG062/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163229-GP03FLMB-RIM01-02-CTDMOG062-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG062/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163243-GP03FLMB-RIM01-02-CTDMOG062-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG063/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163256-GP03FLMB-RIM01-02-CTDMOG063-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG063/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163308-GP03FLMB-RIM01-02-CTDMOG063-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG063/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163322-GP03FLMB-RIM01-02-CTDMOG063-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG064/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163336-GP03FLMB-RIM01-02-CTDMOG064-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG064/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163350-GP03FLMB-RIM01-02-CTDMOG064-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG064/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163402-GP03FLMB-RIM01-02-CTDMOG064-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG065/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163414-GP03FLMB-RIM01-02-CTDMOG065-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG065/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163428-GP03FLMB-RIM01-02-CTDMOG065-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG065/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163443-GP03FLMB-RIM01-02-CTDMOG065-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG066/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163455-GP03FLMB-RIM01-02-CTDMOG066-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG066/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163509-GP03FLMB-RIM01-02-CTDMOG066-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG066/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163521-GP03FLMB-RIM01-02-CTDMOG066-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG067/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163533-GP03FLMB-RIM01-02-CTDMOG067-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG067/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163546-GP03FLMB-RIM01-02-CTDMOG067-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG067/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163559-GP03FLMB-RIM01-02-CTDMOG067-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG068/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163611-GP03FLMB-RIM01-02-CTDMOG068-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG068/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163623-GP03FLMB-RIM01-02-CTDMOG068-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOG068/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163636-GP03FLMB-RIM01-02-CTDMOG068-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP03FLMB/RIM01/02-CTDMOH069/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-24T06:32:00.000Z&endDT=2018-07-25T17:11:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T163650-GP03FLMB-RIM01-02-CTDMOH069-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
