type,reference_designator,deployment,start_date,end_date,author,modified,image_url,comment
exclusion,GI03FLMA-RIM01-02-CTDMOG042,2.0,2015-08-18T23:48:00,2016-07-17T00:00:00,Lori,2018-12-13T21:03:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMA/GI03FLMA-RIM01-02-CTDMOG042/deployment00002_issue/,"Pressure values are 1-8 dbar higher in the recovered_inst dataset compared to the same data from the recovered_host and telemetered data delivery methods. Based on the Asset Management deployment depth, the recovered_host and telemetered data are more reasonable than the values from recovered_inst. Salinity and density are also offset between the delivery methods."
exclusion,GI03FLMA-RIM01-02-CTDMOG044,2.0,2015-08-18T23:48:00,2016-07-17T00:00:00,Lori,2018-12-18T14:40:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMA/GI03FLMA-RIM01-02-CTDMOG044/deployment00002_issue/,"Pressure values are 8-16 dbar higher in the recovered_inst dataset compared to the same data from the recovered_host and telemetered data delivery methods. Based on the Asset Management deployment depth, the recovered_host and telemetered data are more reasonable than the values from recovered_inst. Salinity and density are also offset between the delivery methods."
comment,CE06ISSM-RID16-03-DOSTAD000,,,,Leila,2018-12-19T17:15:00,,"Deployments 1, 4, and 6: The missing data in the  recovered_inst stream are found at the end of the record in both the telemetered and recovered_host streams.

Deployments 1, 2, 3, 4, 5, 6 and 7: The timestamps do not match exactly when comparing streams of different methods. Overlapping the data in a plot will hardly show the difference.

Deployments 2, 4, 6, and 8: Invalid data represent data outside global ranges [0 - 400 µmol/Kg] : There are values greater than 400 and less than 0 in the data. 
"
annotation,CE09OSSM-RID27-04-DOSTAD000,,,,Leila,2018-12-19T18:30:00,,"Deployments 1, 2 and 7: Data gap at the end of the deployment is not annotated in the system.

Deployments 1, 2, 4, 5, 6, and 7: Invalid data represent data well above the maximum global ranges 400 µmol/(L,Kg) for dissolved oxygen concentrations or 110 % for oxygen saturation. Biofouling and DO sensor drift are both observed in the data.

"
annotation,CE06ISSM-RID16-03-DOSTAD000,,,,Leila,2018-12-17T17:52:00,,Deployments 1 and 6:  Data gaps and the end of the deployment are not annotated in the system. 
comment,CE06ISSM-RID16-03-DOSTAD000,8.0,,,Leila,2019-01-15T19:47:00,,"Why are recovered-inst data not in the system?

The missing data in the  recovered_host stream are found at the end of the record in the telemetered stream.
"
comment,CE09OSSM-RID27-04-DOSTAD000,7.0,,,Leila,2018-12-18T17:33:00,,"The NetCDF data  file is missing the appropriate variables coordinates. In this case the coordinates are  'int_ctd_pressure', 'lat' and 'lon'."
annotation,CE09OSPM-WFP01-02-DOFSTK000,1.0,,,Leila,2018-12-19T18:41:00,,Large data gap at the end of the deployment is not annotated in the system.
annotation,CE09OSPM-WFP01-02-DOFSTK000,6.0,,,Leila,2018-12-19T20:34:00,,Update annotation ID # 925 to indicate that the profiler was lost at see and no recovered data are expected. The change in the sampling rate in the telemetered data should also be mentioned.
annotation,CE09OSSM-RID27-04-DOSTAD000,6.0,,,Leila,2018-12-18T17:41:00,,"A data gap is not annotated in the system ['2017-10-24T16:33:21', '2017-10-25T17:30:14']. 
From previous notes, the gap in the data is due to batteries not recharging sufficiently. To conserve power, the MFN was turned off and the NSIF was reduced to 1 hour communications. The OPTAA is the only instrument on the MFN without internal batteries. See redmine ticket #12980 ."
annotation,CE09OSSM-RID27-04-DOSTAD000,7.0,,,Leila,2018-12-18T17:36:00,,"A data gap of 26 days is not annotated in the system ['2018-04-29T12:33:33', '2018-05-25T17:30:13']"
annotation,CE09OSSM-RID27-04-DOSTAD000,5.0,,,Leila,2018-12-18T17:37:00,,"A data gap is not annotated in the system ['2017-08-11T20:32:38', '2017-08-13T19:30:16]"
