reference_designator,type,deployment,start_date,end_date,author,modified,comment,image_url
GI03FLMA-RIM01-02-CTDMOG042,exclusion,2,2015-08-18T23:48:00,2016-07-17T00:00:00,Lori,2018-12-13T21:03:00,"Pressure values are 1-8 dbar higher in the recovered_inst dataset compared to the same data from the recovered_host and telemetered data delivery methods. Based on the Asset Management deployment depth, the recovered_host and telemetered data are more reasonable than the values from recovered_inst. Salinity and density are also offset between the delivery methods.",https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMA/GI03FLMA-RIM01-02-CTDMOG042/deployment00002_issue/
GI03FLMA-RIM01-02-CTDMOG044,exclusion,2,2015-08-18T23:48:00,2016-07-17T00:00:00,Lori,2018-12-18T14:40:00,"Pressure values are 8-16 dbar higher in the recovered_inst dataset compared to the same data from the recovered_host and telemetered data delivery methods. Based on the Asset Management deployment depth, the recovered_host and telemetered data are more reasonable than the values from recovered_inst. Salinity and density are also offset between the delivery methods.",https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMA/GI03FLMA-RIM01-02-CTDMOG044/deployment00002_issue/
CE06ISSM-RID16-03-DOSTAD000,comment,,,,Leila,2018-12-19T17:15:00,"Deployments 1, 4, and 6: The missing data in the  recovered_inst stream are found at the end of the record in both the telemetered and recovered_host streams.

Deployments 1, 2, 3, 4, 5, 6 and 7: The timestamps do not match exactly when comparing streams of different methods. Overlapping the data in a plot will hardly show the difference.

Deployments 2, 4, 6, and 8: Invalid data represent data outside global ranges [0 - 400 µmol/Kg] : There are values greater than 400 and less than 0 in the data. 
",
CE09OSSM-RID27-04-DOSTAD000,annotation,,,,Leila,2018-12-19T18:30:00,"Deployments 1, 2 and 7: Data gap at the end of the deployment is not annotated in the system.

Deployments 1, 2, 4, 5, 6, and 7: Invalid data represent data well above the maximum global ranges 400 µmol/(L,Kg) for dissolved oxygen concentrations or 110 % for oxygen saturation. Biofouling and DO sensor drift are both observed in the data.

",
CE06ISSM-RID16-03-DOSTAD000,annotation,,,,Leila,2018-12-17T17:52:00,Deployments 1 and 6:  Data gaps and the end of the deployment are not annotated in the system. ,
CE06ISSM-RID16-03-DOSTAD000,comment,8,,,Leila,2018-12-19T17:10:00,"Why are recovered-inst data not in the system?

The missing data in the  recovered_host stream are found at the end of the record in the telemetered stream.

Is the instrument depth in asset managment wrong? The data are showing that it is 1 dbar deeper than what is entered in asset management.

",
CE09OSSM-RID27-04-DOSTAD000,comment,7,,,Leila,2018-12-18T17:33:00,"The NetCDF data  file is missing the appropriate variables coordinates. In this case the coordinates are  'int_ctd_pressure', 'lat' and 'lon'.",
CE09OSPM-WFP01-02-DOFSTK000,annotation,1,,,Leila,2018-12-19T18:41:00,Large data gap at the end of the deployment is not annotated in the system.,
CE09OSPM-WFP01-02-DOFSTK000,annotation,6,,,Leila,2018-12-19T20:34:00,Update annotation ID # 925 to indicate that the profiler was lost at see and no recovered data are expected. The change in the sampling rate in the telemetered data should also be mentioned.,
CE09OSSM-RID27-04-DOSTAD000,annotation,6,,,Leila,2018-12-18T17:41:00,"A data gap is not annotated in the system ['2017-10-24T16:33:21', '2017-10-25T17:30:14']. 
From previous notes, the gap in the data is due to batteries not recharging sufficiently. To conserve power, the MFN was turned off and the NSIF was reduced to 1 hour communications. The OPTAA is the only instrument on the MFN without internal batteries. See redmine ticket #12980 .",
CE09OSSM-RID27-04-DOSTAD000,annotation,7,,,Leila,2018-12-18T17:36:00,"A data gap of 26 days is not annotated in the system ['2018-04-29T12:33:33', '2018-05-25T17:30:13']",
CE09OSSM-RID27-04-DOSTAD000,annotation,5,,,Leila,2018-12-18T17:37:00,"A data gap is not annotated in the system ['2017-08-11T20:32:38', '2017-08-13T19:30:16]",
GI03FLMA-RIM01-02-CTDMOG048,exclusion,4,2017-08-08T15:59:00,2018-06-15T07:59:00,Lori,2018-12-18T18:16:00,Salinity and density values are consistently higher in the recovered_host and telemetered datasets compared to the recovered_inst dataset (salinity: 0.0028 - 0.0031 higher; density: 0.0023 - 0.0026 kg m-3 higher). See the variable comparison analysis for more details: https://github.com/ooi-data-lab/data-review-tools/blob/master/data_review/output/GI03FLMA/GI03FLMA-RIM01-02-CTDMOG048/GI03FLMA-RIM01-02-CTDMOG048_sciencevar_comparison_summary.csv,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMA/GI03FLMA-RIM01-02-CTDMOG048/deployment00004_issue/
GI03FLMA-RI000-00-CTDMOH000,exclusion,1,2014-09-12T20:11:00,2015-08-18T10:41:00,Lori,2018-12-18T19:09:00,Annotation ID 350: Seawater temperature values are negative. Salinity and density are also incorrect.,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMA/GI03FLMA-RI000-00-CTDMOH000/deployment0001_issue/
GI03FLMA-RI000-00-CTDMOH700,exclusion,2,2015-08-18T23:48:00,2016-07-17T00:00:00,Lori,2018-12-18T19:21:00,"Annotation ID 351: Temperature values gradually increased over the length of the deployment. Similar behavior is not observed on the CTDs deployed at ~1700m and ~2300m (GI03FLMA-RI000-00-CTDMOH000 and GI03FLMA-RI000-00-CTDMOH400, respectively). Density and salinity values are also suspect.",https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMA/GI03FLMA-RI000-00-CTDMOH700/deployment00002_issue/
GI03FLMB-RIM01-02-CTDMOG062,exclusion,1,2014-11-01T00:00:00,2014-11-02T03:00:00,Lori,2018-12-18T20:37:00,"Conductivity (and salinity and density) dropped suddenly for approx. 24 hours, then returned to reasonable values. Excluding data from final statistics.",https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMB/GI03FLMB-RIM01-02-CTDMOG062/deployment0001_issue/
GI03FLMB-RIM01-02-CTDMOG065,exclusion,4,2017-11-10T20:00:00,2017-11-12T00:00:00,Lori,2018-12-19T14:29:00,"Salinity and density dropped for approx. 24 hours, then returned to reasonable values. Excluding data from final statistics.",https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMB/GI03FLMB-RIM01-02-CTDMOG065/deployment0004_issue/
GI03FLMB-RIM01-02-CTDMOG068,exclusion,2,2015-08-21T17:11:00,2016-07-18T00:00:00,Lori,2018-12-19T16:07:00,"Salinity for deployment 2 appears to be shifted low compared to other deployments. The average salinity for deployment 2 is 34.88 while the average salinity for deployments 1, 3, 4 is 34.90. This pattern isn't observed in surrounding CTDMOs.",https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMB/GI03FLMB-RIM01-02-CTDMOG068/deployment0002_issue/GI03FLMB-RIM01-02-CTDMOG068-Practical%20Salinity_rmoutliers.png
GI03FLMB-RIM01-02-CTDMOH069,annotation,4,2017-08-07T15:49:00,2018-06-11T19:36:00,Lori,2018-12-19T16:43:00,"Need an annotation explaining to the user why deployment 4 recovered_inst data are not available. According to the ingest csv, recovered_inst data are not expected because: ""could not communicate with instrument"".",
GI03FLMB-RIM01-02-CTDMOH070,exclusion,4,2017-08-07T15:49:00,2018-06-11T19:36:00,Lori,2018-12-19T19:44:00,"Density and salinity start low and gradually increase before leveling off. This pattern isn't observed in surrounding CTDMOs, or in the previous deployments of this CTDMO. Excluding data from final statistics, and issue should be investigated and annotated.",https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMB/GI03FLMB-RIM01-02-CTDMOH070/deployment0004_issue/
GI03FLMB-RIM01-02-CTDMOH070,exclusion,1,2015-03-05T12:00:00,2015-03-06T12:00:00,Lori,2018-12-19T19:43:00,"Conductivity (and salinity and density) dropped suddenly for approx. 24 hours, then returned to reasonable values. Excluding data from final statistics.",https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI03FLMB/GI03FLMB-RIM01-02-CTDMOH070/deployment0001_issue/
