type,reference_designator,deployment,start_date,end_date,author,modified,image_url,comment
comment,GA05MOAS-GL538-01-FLORDM000,1.0,,,Lori,2019-06-03T15:35:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GA/GA05MOAS/GA05MOAS-GL538/GA05MOAS-GL538-01-FLORDM000/xsection_plots/deployment0001/rm_erroneous_data_GA05MOAS-GL538-01-FLORDM000-recovered_host-optical_backscatter.png,Biofouling noted in annotation ID 435 is evident in the data.
comment,CE01ISSM-RID16-08-SPKIRB000,,,,Lori,2019-06-05T13:40:00,,There is no pressure variable in the .nc files. This should be a coordinate.
annotation,CE01ISSM-RID16-08-SPKIRB000,4.0,2016-02-01T00:00:00,2016-05-10T00:00:00,Lori,2019-06-05T13:44:00,,The 3 months of missing data at the end of deployment 4 should be annotated.
annotation,GI05MOAS-GL484,2.0,,,Lori,2019-06-05T14:17:00,,"Recovered data for deployment 2 should be ingested or annotated to explain why no recovered data are available for download. The ingest csv has a note that the glider was lost, but the glider was lost on deployment 3 not deployment 2."
annotation,CP01CNSM-RID26-04-VELPTA000,,,,Lori,2019-06-05T19:11:00,,recovered_inst data are not available for download from deployments 4 and 5 - the raw data files are available according to the ingest csv. The data should be ingested or annotated to indicate why they are not available.
annotation,CP01CNSM-MFD35-04-VELPTA000,,,,Lori,2019-06-05T19:16:00,,recovered_inst data are not available for download from deployments 3 and 5 - the raw data files are available according to the ingest csv. The data should be ingested or annotated to indicate why they are not available.
exclusion,CE01ISSM-RID16-08-SPKIRB000,9.0,2018-04-16T00:00:00,2018-09-30T15:47:00,Lori,2019-06-05T19:40:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSM/CE01ISSM-RID16-08-SPKIRB000/timeseries_plots/deployment0009_CE01ISSM-RID16-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered-spkir_abj_cspp_downwelling_vector-2018-04-03.png,Annotation ID 1549: instrument was not operational. Excluding from final data ranges.
comment,CE01ISSM-RID16-08-SPKIRB000,,,,Lori,2019-06-06T15:35:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSM/CE01ISSM-RID16-08-SPKIRB000/timeseries_plots_zoomed/,A substantial percentage (between 20-60%) of data are outside of global ranges for every deployment. Zooming in on the x-axis in the plots shows that all of the values that are outside of global ranges are slightly negative.
exclusion,CE01ISSM-RID16-08-SPKIRB000,7.0,2017-05-21T00:00:00,2017-10-12T21:50:00,Lori,2019-06-06T15:44:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSM/CE01ISSM-RID16-08-SPKIRB000/timeseries_plots/deployment0007_CE01ISSM-RID16-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered-spkir_abj_cspp_downwelling_vector-2017-04-19-rmgr.png,Data periodically flatline. This should be annotated if there was an issue with the instrument. Excluding from final data ranges.
exclusion,CE01ISSM-RID16-08-SPKIRB000,8.0,2018-01-01T00:00:00,2018-04-01T10:22:00,Lori,2019-06-06T15:49:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSM/CE01ISSM-RID16-08-SPKIRB000/timeseries_plots/deployment0008_CE01ISSM-RID16-08-SPKIRB000-recovered_host-spkir_abj_dcl_instrument_recovered-spkir_abj_cspp_downwelling_vector-2017-10-12-rmgr.png,Suspect data towards the end of the deployment. Excluding from final data ranges.
exclusion,CE01ISSM-RID16-08-SPKIRB000,4.0,2015-10-08T00:00:00,2015-10-10T00:00:00,Lori,2019-06-07T14:58:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSM/CE01ISSM-RID16-08-SPKIRB000/timeseries_plots_preferred_all/CE01ISSM-RID16-08-SPKIRB000-Downwelling%20Spectral%20Irradiance-683nm.png,Unusual spike in irradiance at the beginning of deployment 4 at wavelength=683nm. excluding from final data ranges.
comment,CP01CNSM-SBD12-08-FDCHPA000,,,,Lori,2019-06-07T15:56:00,,"Re annotation ID 1374 for this instrument - the equivalent annotation on CE02SHSM-SBD12-08-FDCHPA000 (ID 1373) was updated by wingardc: ""UPDATED, 2019-02-05: Per communication with the instrument subject matter expert, the onboard processing error applies only to the motion-corrected wind speed and flux calculations. Those parameters are marked here with a QC Flag = ""fail"". All other measurements are considered to be good. Users should only use the motion-corrected wind speed and flux data from the recovered instrument data stream."" This information presumably also applies to this instrument and should be communicated to users."
comment,GI01SUMO-SBD12-08-FDCHPA000,,,,Lori,2019-06-07T16:04:00,,"Re annotation ID 1375 for this instrument - the equivalent annotation on CE02SHSM-SBD12-08-FDCHPA000 (ID 1373) was updated by wingardc: ""UPDATED, 2019-02-05: Per communication with the instrument subject matter expert, the onboard processing error applies only to the motion-corrected wind speed and flux calculations. Those parameters are marked here with a QC Flag = ""fail"". All other measurements are considered to be good. Users should only use the motion-corrected wind speed and flux data from the recovered instrument data stream."" This information presumably also applies to this instrument and should be communicated to users."
