type,reference_designator,deployment,start_date,end_date,author,modified,image_url,comment
exclusion,CP03ISSM-MFD37-04-DOSTAD000,1.0,2014-12-14T00:00:00,2014-12-17T00:00:00,Leila,2019-04-04T13:58:00,,suspect data
comment,CE09OSPM-WFP01-04-FLORTK000,,,,Lori,2019-04-18T18:36:00,,"The pressure coordinate (pressure_depth) contain non-valid pressure data. There is another variable in the files called in_ctd_pressure that contains what appears to be valid pressure data. This is the case for every FLORTK on every WFP.   https://opendap.oceanobservatories.org/thredds/dodsC/ooi/lgarzio@marine.rutgers.edu/20181213T021222-CE09OSPM-WFP01-04-FLORTK000-recovered_wfp-flort_sample/deployment0008_CE09OSPM-WFP01-04-FLORTK000-recovered_wfp-flort_sample_20171004T200204-20180326T195110.nc.ascii?pressure_depth[0:1:1000],int_ctd_pressure[0:1:1000]"
comment,CE09OSPM-WFP01-03-CTDPFK000,,,,Leila,2019-04-01T11:25:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE09OSPM/CE09OSPM-WFP01-03-CTDPFK000/profile_plots/recovered_wfp/deployment0004/rm_erroneous_data_practical_salinity-CE09OSPM-WFP01-03-CTDPFK000-recovered_wfp-ctdpf_ckl_wfp_instrument_recovered.png,"suspect data profiles were observed in all parameters on every deployment. Files listing time exclusion are found here: https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE09OSPM/CE09OSPM-WFP01-03-CTDPFK000/time_to_exclude/

Example figure is shown"
comment,CE06ISSM-MFD37-03-DOSTAD000,8.0,,,Lori,2019-04-01T17:43:00,,Deployment 8 recovered_inst data should be available for download (the raw data file is available according to the ingest csv) or annotated to indicate why recovered_inst data are not available.
annotation,CE06ISSM-MFD37-03-DOSTAD000,5.0,,,Lori,2019-04-01T18:02:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE06ISSM/CE06ISSM-MFD37-03-DOSTAD000/method_compare_plots/recovered_host-recovered_inst/deployment0005_CE06ISSM-MFD37-03-DOSTAD000_DO%20-%20Pressure%20Temp%20Sal%20Corrected.png,"43 days of data in the middle of the deployment are missing from the recovered_inst data stream, but available in the recovered_host and telemetered data streams. These data should be available in the recovered_inst data stream (or annotated if there was an issue with internally recording data).

"
annotation,CE06ISSM-MFD37-03-DOSTAD000,6.0,,,Lori,2019-04-01T18:03:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE06ISSM/CE06ISSM-MFD37-03-DOSTAD000/method_compare_plots/recovered_host-recovered_inst/deployment0006_CE06ISSM-MFD37-03-DOSTAD000_DO%20-%20Pressure%20Temp%20Sal%20Corrected.png,"39 days of data at the end of the deployment are missing from the recovered_inst data stream, but available in the recovered_host and telemetered data streams. These data should be available in the recovered_inst data stream (or annotated if there was an issue with internally recording data)."
comment,CE06ISSM-MFD37-03-DOSTAD000,,2015-10-01T00:00:00,2015-10-31T00:00:00,Lori,2019-04-01T18:06:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE06ISSM/CE06ISSM-MFD37-03-DOSTAD000/timeseries_plots_preferred_all_deployment_turns/CE06ISSM-MFD37-03-DOSTAD000-DO%20-%20Pressure%20Temp%20Sal%20Corrected2-3.png,"The DO values at the end of deployment 2 are around 150 umol kg-1 and jump to ~225 umol kg-1 at the beginning of deployment 3. Further analysis should be done using shipboard bottle data, which is outside the scope of this project."
comment,CE06ISSM-MFD37-03-DOSTAD000,,2016-04-15T00:00:00,2016-05-31T00:00:00,Lori,2019-04-01T18:07:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE06ISSM/CE06ISSM-MFD37-03-DOSTAD000/timeseries_plots_preferred_all_deployment_turns/CE06ISSM-MFD37-03-DOSTAD000-DO%20-%20Pressure%20Temp%20Sal%20Corrected3-4.png,"The DO values at the end of deployment 3 are around 75 umol kg-1 and jump to ~200 umol kg-1 at the beginning of deployment 4. Further analysis should be done using shipboard bottle data, which is outside the scope of this project."
comment,CE06ISSM-MFD37-03-DOSTAD000,,2018-03-01T00:00:00,2018-04-15T00:00:00,Lori,2019-04-01T18:08:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE06ISSM/CE06ISSM-MFD37-03-DOSTAD000/timeseries_plots_preferred_all_deployment_turns/CE06ISSM-MFD37-03-DOSTAD000-DO%20-%20Pressure%20Temp%20Sal%20Corrected7-8.png,"The DO values at the end of deployment 7 are <50 umol kg-1 and jump to ~200 umol kg-1 at the beginning of deployment 8. Further analysis should be done using shipboard bottle data, which is outside the scope of this project.

"
annotation,CE06ISSM-MFD37-03-DOSTAD000,1.0,2015-01-08T20:00:00,2015-04-10T00:00:00,Lori,2019-04-01T18:11:00,,The data gap at the end of deployment 1 should be annotated.
