type,reference_designator,deployment,start_date,end_date,author,modified,image_url,comment
annotation,RS01SBPS-SF01A-4A-NUTNRA101,,,,Lori,2019-12-02T16:51:00,,Annotation ID 1370 is a duplicate of 572.
comment,RS01SBPS-SF01A-4A-NUTNRA101,1.0,,,Lori,2019-12-02T16:53:00,,The deployment 1 .nc files are missing the pressure coordinate.
comment,RS01SBPS-SF01A-4A-NUTNRA101,3.0,,,Lori,2019-12-04T18:37:00,,15% of nitrate_concentration and nutnr_nitrogen_in_nitrate values are outside of global ranges for this deployment.
annotation,RS01SBPS-SF01A-4F-PCO2WA101,3.0,,,Lori,2019-12-04T19:18:00,,There are no data available for download for deployment 3. This should be annotated.
comment,RS01SBPS-SF01A-4F-PCO2WA101,1.0,,,Lori,2019-12-04T19:24:00,,91% of pco2_seawater values are outside of global ranges for this deployment.
comment,RS01SBPS-SF01A-4F-PCO2WA101,5.0,,,Lori,2019-12-04T19:24:00,,39% of pco2_seawater values are outside of global ranges for this deployment.
comment,RS03AXPS-PC03A-05-ADCPTD302,,,,Lori,2019-12-05T14:25:00,,"The .nc files for every deployment don't have the coordinates lat, lon, and pressure"
comment,RS03AXPS-PC03A-06-VADCPA301,,,,Lori,2019-12-05T14:31:00,,"The .nc files for every deployment don't have the coordinates lat, lon, and pressure"
annotation,RS03AXPS-PC03A-05-ADCPTD302,2.0,,,Lori,2019-12-05T14:35:00,,The missing data for deployment 2 should be annotated.
comment,RS03AXPS-PC03A-05-ADCPTD302,,,,Lori,2019-12-05T15:09:00,,"19 - 58% of the seawater velocity values for deployments 1-4 are NaNs, fill values, outside of global ranges, or outliers (+/- 5SD)"
comment,RS03AXPS-PC03A-06-VADCPA301,3.0,,,Lori,2019-12-05T14:58:00,,Missing vadcp_velocity_beam_5 data for deployment 3 should be annotated.
comment,RS03AXPS-PC03A-06-VADCPA301,,,,Lori,2019-12-05T15:03:00,,"'pressure', and 'upward_seawater_velocity' are arrays of fill values for deployments 1-4."
comment,RS03AXPS-PC03A-06-VADCPA301,,,,Lori,2019-12-05T15:09:00,,"86 - 88% of the velocity values for deployments 1-4 are NaNs, outside of global ranges, or outliers (+/- 5SD)"
comment,RS03AXPS-PC03A-4C-FLORDD303,,,,Lori,2019-12-05T15:13:00,,"The .nc files for deployments 1-4 don't have the coordinates lat, lon, and pressure"
comment,RS03AXPS-PC03A-4C-FLORDD303,1.0,,,Lori,2019-12-05T15:20:00,,"50% of optical_backscatter and seawater_scattering_coefficient values for this deployment are fill values, and 97% of fluorometric_chlorophyll_a values are outside of global ranges."
comment,RS03AXPS-PC03A-4C-FLORDD303,2.0,,,Lori,2019-12-05T15:31:00,,"38% of optical_backscatter and seawater_scattering_coefficient values for this deployment are fill values, and 66% of fluorometric_chlorophyll_a values are outside of global ranges."
