type,reference_designator,deployment,start_date,end_date,author,modified,image_url,comment
comment,GI05MOAS-GL493,2.0,,,Lori,2020-01-13T15:36:00,,"There is no end date in the system for this glider (as of 1/13/2020). It was deployed >2 years ago on 8/9/2017. Also, recovered data aren't available for download. The recovered data need to be ingested or the dataset should be annotated to explain why recovered data aren't available."
comment,GI05MOAS-GL485-04-CTDGVM000,,,,Lori,2020-01-13T15:10:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-GL485/GI05MOAS-GL485-04-CTDGVM000/xsection_plots/deployment0002/rm_erroneous_data_GI05MOAS-GL485-04-CTDGVM000-telemetered-sci_seawater_density_20150817.png,"98% of sci_seawater_density values are NaNs - the only data available are near the surface. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
comment,GI05MOAS-GL485-02-DOSTAM000,,,,Lori,2020-01-13T15:15:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-GL485/GI05MOAS-GL485-02-DOSTAM000/xsection_plots/deployment0002/rm_erroneous_data_GI05MOAS-GL485-02-DOSTAM000-telemetered-sci_abs_oxygen_20150817.png,"98% of sci_abs_oxygen values are NaNs - the only data available are near the surface. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
comment,GI05MOAS-GL493-04-CTDGVM000,,,,Lori,2020-01-13T15:39:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-GL493/GI05MOAS-GL493-04-CTDGVM000/xsection_plots/deployment0002/rm_erroneous_data_GI05MOAS-GL493-04-CTDGVM000-telemetered-sci_seawater_density_20170809.png,"98% of sci_seawater_density values are NaNs - the only data available are near the surface. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
comment,GI05MOAS-GL493-02-DOSTAM000,,,,Lori,2020-01-13T15:42:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-GL493/GI05MOAS-GL493-02-DOSTAM000/xsection_plots/deployment0002/rm_erroneous_data_GI05MOAS-GL493-02-DOSTAM000-telemetered-sci_abs_oxygen_20170809.png,"98% of sci_abs_oxygen values are NaNs - the only data available are near the surface. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
comment,GI05MOAS-GL495-04-CTDGVM000,,,,Lori,2020-01-13T16:06:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-GL495/GI05MOAS-GL495-04-CTDGVM000/xsection_plots/deployment0002/rm_erroneous_data_GI05MOAS-GL495-04-CTDGVM000-telemetered-sci_seawater_density_20150817.png,"98% of sci_seawater_density values are NaNs - the only data available are near the surface. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
comment,GI05MOAS-GL495-02-DOSTAM000,,,,Lori,2020-01-13T16:09:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-GL495/GI05MOAS-GL495-02-DOSTAM000/xsection_plots/deployment0002/rm_erroneous_data_GI05MOAS-GL495-02-DOSTAM000-telemetered-sci_abs_oxygen_20150817.png,"98% of sci_abs_oxygen values are NaNs - the only data available are near the surface. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
comment,GI05MOAS-GL559-04-CTDGVM000,,,,Lori,2020-01-14T19:41:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-GL559/GI05MOAS-GL559-04-CTDGVM000/xsection_plots/deployment0001/rm_erroneous_data_GI05MOAS-GL559-04-CTDGVM000-recovered_host-sci_seawater_density_20160709.png,"98% of sci_seawater_density values are NaNs. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
comment,GI05MOAS-GL559-02-DOSTAM000,,,,Lori,2020-01-14T19:51:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-GL559/GI05MOAS-GL559-02-DOSTAM000/xsection_plots/deployment0001/rm_erroneous_data_GI05MOAS-GL559-02-DOSTAM000-recovered_host-sci_abs_oxygen_20160709.png,"98% of sci_abs_oxygen values are NaNs. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
comment,GI05MOAS-PG528-01-CTDGVM000,,,,Lori,2020-01-21T15:11:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GI/GI05MOAS/GI05MOAS-PG528/GI05MOAS-PG528-01-CTDGVM000/xsection_plots/deployment0001/rm_erroneous_data_GI05MOAS-PG528-01-CTDGVM000-recovered_host-sci_seawater_density_20150817.png,"98% of sci_seawater_density values are NaNs. Lat and lon are parameters used in the data product algorithm, so I think this got messed up with the re-organization of the glider lat/lon parameters. See Redmine ticket #14486"
