type,reference_designator,deployment,start_date,end_date,author,modified,image_url,comment
comment,GS01SUMO-RID16-05-PCO2WB000,1.0,,,Lori,2019-07-25T17:12:00,,Recovered data from the instrument were not archived and are not available for this deployment.
comment,GI03FLMA-RIS01-05-FLORTD000,,,,Lori,2019-07-10T20:45:00,,pressure_depth (dbar) is an array of all fill values for every deployment. This variable should contain valid pressure data.
comment,GI03FLMB-RIS01-05-FLORTD000,,,,Lori,2019-07-11T12:57:00,,pressure_depth (dbar) is an array of all fill values for every deployment. This variable should contain valid pressure data.
comment,CP01CNSP-SP001-10-PARADJ000,4.0,,,Leila,2019-07-11T15:04:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CP/CP01CNSP/CP01CNSP-SP001-10-PARADJ000/profile_plots/deployment0004/all_data_CP01CNSP-SP001-10-PARADJ000-recovered_cspp-parad_j_par_counts_output_20150723.png,PAR data outside global ranges
comment,CE01ISSP-SP001-02-DOSTAJ000,1.0,,,Lori,2019-07-01T13:57:00,,estimated_oxygen_saturation is an array of fill values for this deployment.
comment,CE01ISSP-SP001,,,,Lori,2019-07-01T14:00:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSP/CE01ISSP-SP001-09-CTDPFJ000/profile_plots/deployment0007/all_data_CE01ISSP-SP001-09-CTDPFJ000-recovered_cspp-conductivity_20170423.png,"During deployments 2 - 8 and 10, there are 7 - 40 pressure (dbar) data points that are outliers (much deeper than the max deployment depth of 25m)."
comment,CE01ISSP-SP001-02-DOSTAJ000,5.0,,,Lori,2019-07-01T14:07:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSP/CE01ISSP-SP001-02-DOSTAJ000/xsection_plots/deployment0005/rm_erroneous_data_CE01ISSP-SP001-02-DOSTAJ000-recovered_cspp-estimated_oxygen_saturation_20160616.png,There is a substantial amount of data outside of global ranges in the middle of the deployment (data outside of global ranges removed from plot attached)
comment,CE01ISSP-SP001-02-DOSTAJ000,6.0,,,Lori,2019-07-01T14:10:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSP/CE01ISSP-SP001-02-DOSTAJ000/xsection_plots/deployment0006/rm_erroneous_data_CE01ISSP-SP001-02-DOSTAJ000-recovered_cspp-estimated_oxygen_saturation_20160823.png,There is a substantial amount of data outside of global ranges towards the beginning of the deployment (data outside of global ranges removed from plot attached)
comment,CE01ISSP-SP001-08-FLORTJ000,,,,Lori,2019-07-01T14:23:00,,"recovered data aren't available for download for deployments 1 - 4, and 6 - 7. According to the ingest csvs, the raw data files are available for all of those deployments. Data should be ingested or the datasets should be annotated."
comment,CE01ISSP-SP001-08-FLORTJ000,,,,Lori,2019-07-01T14:27:00,,"Very sparse data available for deployments 1, 4 (one data point) and 6"
comment,CE01ISSP-SP001-06-NUTNRJ000,,,,Lori,2019-07-01T15:10:00,,"ctd_temp is an array of -1 for every deployment, ctd_psu is 0 (or close to zero) for every deployment, and ctd_dbar is incorrect (0 for most deployments)."
comment,CE01ISSP-SP001-06-NUTNRJ000,1.0,,,Lori,2019-07-01T15:18:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE01ISSP/CE01ISSP-SP001-06-NUTNRJ000/profile_plots/deployment0001/all_data_CE01ISSP-SP001-06-NUTNRJ000-recovered_cspp-nitrate_concentration_20140417.png,70% of nitrate_concentration and nutnr_nitrogen_in_nitrate values are negative.
comment,CE01ISSP-SP001-06-NUTNRJ000,6.0,,,Lori,2019-07-01T15:25:00,,50% of the nitrate_concentration values for this deployment are outside of global ranges (too high).
comment,CE01ISSP-SP001-06-NUTNRJ000,10.0,,,Lori,2019-07-01T15:32:00,,28% of salinity_corrected_nitrate values are outside of global ranges for this deployment.
comment,CE02SHSP-SP001,,,,Lori,2019-07-01T16:31:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE02SHSP/CE02SHSP-SP001-08-CTDPFJ000/profile_plots/deployment0003/all_data_CE02SHSP-SP001-08-CTDPFJ000-recovered_cspp-temperature_20160823.png,"During deployments 3 - 5, there are several pressure (dbar) data points that are outliers (much deeper than the max deployment depth of 80m)."
annotation,CE02SHSP-SP001-08-CTDPFJ000,4.0,,,Lori,2019-07-01T16:33:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE02SHSP/CE02SHSP-SP001-08-CTDPFJ000/xsection_plots/deployment0004/rm_erroneous_data_CE02SHSP-SP001-08-CTDPFJ000-recovered_cspp-temperature_20161011.png,The 13 gaps totaling 47 days should be annotated.
exclusion,CE02SHSP-SP001-08-CTDPFJ000,3.0,2016-10-01T00:00:00,2016-10-02T16:52:00,Lori,2019-07-01T16:40:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE02SHSP/CE02SHSP-SP001-08-CTDPFJ000/profile_plots/deployment0003/rm_suspect_data_CE02SHSP-SP001-08-CTDPFJ000-recovered_cspp-salinity_20160823.png,Suspect density and salinity > 50 dbar.
exclusion,CE02SHSP-SP001-08-CTDPFJ000,4.0,2016-10-11T00:00:00,2016-10-15T00:00:00,Lori,2019-07-01T16:43:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE02SHSP/CE02SHSP-SP001-08-CTDPFJ000/profile_plots/deployment0004/rm_suspect_data_CE02SHSP-SP001-08-CTDPFJ000-recovered_cspp-density_20161011.png,Suspect density data towards the beginning of the deployment (density is lower at depth).
comment,CE02SHSP-SP001-08-CTDPFJ000,,,,Lori,2019-07-01T16:59:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE02SHSP/CE02SHSP-SP001-08-CTDPFJ000/profile_plots/deployment0001/all_data_CE02SHSP-SP001-08-CTDPFJ000-recovered_cspp-conductivity_20150318.png,"Some conductivity, density, and salinity data near the surface are unreasonable for all deployments."
comment,CE02SHSP-SP001-02-VELPTJ000,10.0,,,Lori,2019-07-01T17:02:00,,"There are no data available for download for this deployment. According to the ingest csv, recovered raw data files are available. These files should be ingested or the dataset should be annotated."
comment,CE02SHSP-SP001-04-OPTAAJ000,,,,Lori,2019-07-01T18:17:00,,"According to Roesler and Barnard (Optical proxy for phytoplankton biomass in the absence of photophysiology: Rethinking the absorption line height, Methods in Oceanography, 2013), “absorption meters are highly prone to biofouling, particularly biofilms which not only attenuate the collimated beam but also impact the scattering properties of the optical surfaces and tubes. In productive coastal waters biofouling can have significant impacts (i.e. 10% of the signal) within one to two weeks”."
comment,CE02SHSP-SP001-04-OPTAAJ000,1.0,,,Lori,2019-07-01T18:19:00,,"There are no data available for download from deployment 1. According to the ingest csv, the raw data files are available. These files should be ingested or the dataset should be annotated."
comment,CE02SHSP-SP001-04-OPTAAJ000,,,,Lori,2019-07-01T18:22:00,,The file coordinate pressure_depth is an array of all zeros for every deployment. The variable in the file called int_ctd_pressure has what appears to be valid pressure data. The coordinate variable pressure_depth should contain valid pressure data.
comment,CE02SHSP-SP001-04-OPTAAJ000,4.0,,,Lori,2019-07-01T18:24:00,,"60% of beam_attenuation and  63% of optical_absorption data for this deployment are nans, fill values, outside of global ranges, or outliers (+/- 5 SD)."
comment,CE02SHSP-SP001-04-OPTAAJ000,7.0,,,Lori,2019-07-01T18:25:00,,"87% of beam_attenuation and optical_absorption data for this deployment are nans, fill values, outside of global ranges, or outliers (+/- 5 SD)."
comment,CE02SHSP-SP001-06-SPKIRJ000,1.0,,,Lori,2019-07-01T18:53:00,,"There are no data from this deployment available for download. According to the ingest csv, the raw data files are available. These files should be ingested or the dataset should be annotated."
comment,CE02SHSP-SP001-06-SPKIRJ000,,,,Lori,2019-07-01T18:55:00,,"For each deployment, 11% - 63% of spkir_abj_cspp_downwelling_vector values are outside of global ranges (0-300)."
comment,CE02SHSP-SP001-01-DOSTAJ000,1.0,,,Lori,2019-07-01T19:04:00,,"There are no data from this deployment available for download. According to the ingest csv, the raw data files are available. These files should be ingested or the dataset should be annotated."
comment,CE06ISSP-SP001-04-OPTAAJ000,9.0,,,Lori,2019-07-01T19:25:00,,"There are no data from this deployment available for download. According to the ingest csv, the raw data files are available. These files should be ingested or the dataset should be annotated."
comment,CE06ISSP-SP001-04-OPTAAJ000,,,,Lori,2019-07-01T19:25:00,,"According to Roesler and Barnard (Optical proxy for phytoplankton biomass in the absence of photophysiology: Rethinking the absorption line height, Methods in Oceanography, 2013), “absorption meters are highly prone to biofouling, particularly biofilms which not only attenuate the collimated beam but also impact the scattering properties of the optical surfaces and tubes. In productive coastal waters biofouling can have significant impacts (i.e. 10% of the signal) within one to two weeks”."
